    254     12     19      MAY    2020
      1  92803  72202  25.75N 80.38W     4   1103
      5    597  19653   -694   -914  99999  99999
      6    581  19812  99999  99999    155     10
      5    574  19889   -655   -895  99999  99999
      4    500  20730   -663   -903    355      7
      5    494  20803   -663   -903  99999  99999
      6    453  21336  99999  99999    110     15
      6    410  21945  99999  99999     75      4
      5    406  22006   -601   -871  99999  99999
      6    390  22250  99999  99999     25     11
      6    372  22555  99999  99999     60     23
      5    363  22704   -593   -873  99999  99999
      6    354  22860  99999  99999     70     22
      5    347  22985   -605   -875  99999  99999
      6    337  23164  99999  99999     55     18
      5    333  23242   -581   -861  99999  99999
      5    318  23531   -591   -871  99999  99999
      6    306  23774  99999  99999     60     28
      5    303  23834   -573   -853  99999  99999
      4    300  23900   -575   -855     85     26
      6    292  24079  99999  99999    105     22
      6    278  24384  99999  99999    110     17
      6    252  24993  99999  99999    140     13
      5    251  25026   -569   -849  99999  99999
      6    241  25298  99999  99999    115      2
      5    202  26413   -517   -817  99999  99999
      4    200  26490   -519   -819    360      9
      6    190  26822  99999  99999     30     11
      5    187  26923   -529   -829  99999  99999
      6    173  27432  99999  99999     55     11
      5    156  28100   -485   -805  99999  99999
      5    134  29100   -471   -791  99999  99999
      5    129  29352   -447   -777  99999  99999
      6    125  29565  99999  99999    215     13
      6    114  30176  99999  99999    240     13
      6    109  30480  99999  99999    255     13
      5    104  30807   -391   -751  99999  99999
      4    100  31080   -389   -749    340     18
      6     91  31699  99999  99999    230      1
      5     85  32192   -387   -747  99999  99999
    254     12     19      MAY    2020
      1   3990  72249  32.80N 97.30W   196   1106
      2     70   1066   1700    154  99999      3
      3           FWD                99999     kt
      9   9860    196    220    190     40      5
      4  10000     70  99999  99999  99999  99999
      5   9830    222    222    173  99999  99999
      5   9530    490    232    162  99999  99999
      6   9401    609  99999  99999    225     12
      5   9350    656    250    140  99999  99999
      4   9250    754    248    138    250     16
      5   9100    896    246    136  99999  99999
      6   9081    914  99999  99999    260     29
      5   8940   1051    258    118  99999  99999
      5   8820   1169    256    106  99999  99999
      6   8770   1219  99999  99999    265     24
      4   8500   1496    234     84    260     18
      5   8410   1588    228     78  99999  99999
      5   8310   1691    226     26  99999  99999
      5   8210   1795    218     28  99999  99999
      6   8178   1828  99999  99999    250     14
      6   7891   2133  99999  99999    235     14
      6   7613   2438  99999  99999    260     13
      5   7550   2509    152     62  99999  99999
      6   7342   2743  99999  99999    270     14
      5   7240   2861    128     48  99999  99999
      5   7170   2942    124     54  99999  99999
      5   7100   3024    128     -2  99999  99999
      6   7081   3048  99999  99999    305     15
      4   7000   3153    122    -38    295     14
      6   6834   3352  99999  99999    295     11
      5   6830   3357    112    -88  99999  99999
      6   6585   3657  99999  99999    315     15
      6   6345   3962  99999  99999    350     20
      5   6270   4060     54   -136  99999  99999
      6   6110   4267  99999  99999    350     23
      6   5663   4876  99999  99999    355     37
      5   5630   4923    -25   -135  99999  99999
      5   5520   5079    -39   -159  99999  99999
      5   5480   5136    -41   -191  99999  99999
      5   5050   5772    -95   -235  99999  99999
      6   5038   5791  99999  99999    355     18
      5   5010   5833    -99   -249  99999  99999
      4   5000   5860    -97   -267    340     15
      5   4980   5891    -95   -325  99999  99999
      5   4970   5906    -97   -307  99999  99999
      5   4940   5953    -99   -249  99999  99999
      5   4900   6015   -105   -245  99999  99999
      6   4848   6096  99999  99999    330     14
      5   4710   6317   -125   -335  99999  99999
      6   4659   6400  99999  99999    320     14
      5   4560   6563   -141   -291  99999  99999
      5   4500   6663   -147   -327  99999  99999
      5   4440   6764   -153   -303  99999  99999
      5   4340   6935   -165   -305  99999  99999
      5   4210   7162   -185   -365  99999  99999
      5   4130   7304   -195   -345  99999  99999
      5   4050   7449   -205   -405  99999  99999
      4   4000   7550   -211   -401    335     15
      6   3962   7620  99999  99999    330     17
      5   3890   7754   -231   -401  99999  99999
      5   3860   7811   -231   -361  99999  99999
      6   3800   7924  99999  99999    345     16
      5   3490   8539   -281   -461  99999  99999
      5   3210   9131   -337   -497  99999  99999
      6   3204   9144  99999  99999    315     20
      5   3090   9397   -353   -573  99999  99999
      4   3000   9600   -371   -561    300     17
      5   2860   9927   -403   -563  99999  99999
      6   2805  10058  99999  99999    285     20
      5   2720  10267   -427   -677  99999  99999
      6   2562  10668  99999  99999    305     17
      5   2540  10726   -457   -627  99999  99999
      4   2500  10840   -463   -663    290     14
      5   2480  10893   -467   -697  99999  99999
      6   2450  10972  99999  99999    265     17
      6   2229  11582  99999  99999    240     24
      6   2027  12192  99999  99999    245     19
      4   2000  12280   -581   -761    250     18
      5   1810  12902   -617   -727  99999  99999
      5   1760  13076   -611   -731  99999  99999
      7   1700  13289   -627   -757    325     26
      5   1670  13400   -615   -765  99999  99999
      6   1667  13411  99999  99999    325     26
      5   1620  13588   -603   -803  99999  99999
      6   1587  13716  99999  99999    290     29
      4   1500  14070   -625   -915    300     32
      5   1470  14194   -629   -919  99999  99999
      6   1439  14326  99999  99999    315     31
      5   1430  14364   -619   -919  99999  99999
      5   1400  14494   -629   -929  99999  99999
      5   1330  14809   -631   -931  99999  99999
      6   1303  14935  99999  99999    305     35
      5   1280  15043   -643   -943  99999  99999
      6   1239  15240  99999  99999    305     26
      6   1179  15544  99999  99999    290     24
      5   1120  15854   -659   -949  99999  99999
      5   1070  16130   -663   -953  99999  99999
      6   1066  16154  99999  99999    295     41
      5   1040  16302   -651   -951  99999  99999
      4   1000  16550   -651   -951    320     25
      5    929  16994   -679   -969  99999  99999
      5    818  17757   -677   -967  99999  99999
      5    785  18005   -657   -947  99999  99999
      6    749  18288  99999  99999    270     12
      5    724  18493   -675   -965  99999  99999
      4    700  18700   -657   -947    300     19
      6    678  18897  99999  99999    305     21
      5    648  19172   -621   -921  99999  99999
      6    613  19507  99999  99999     45     17
      6    584  19812  99999  99999    110     19
      5    571  19946   -649   -949  99999  99999
      6    555  20116  99999  99999    140     16
      5    510  20633   -647   -947  99999  99999
      6    503  20726  99999  99999    110     17
      4    500  20760   -635   -935    110     14
      6    455  21336  99999  99999    130     10
      5    451  21396   -607   -917  99999  99999
      6    413  21945  99999  99999     40      5
      5    404  22078   -611   -921  99999  99999
      6    374  22555  99999  99999     65     15
      6    356  22860  99999  99999     45     14
      5    344  23083   -571   -891  99999  99999
      6    324  23469  99999  99999    125     16
      6    308  23774  99999  99999     70     11
      4    300  23950   -563   -883     80     10
      6    280  24384  99999  99999     75     12
      5    263  24782   -569   -889  99999  99999
      6    254  24993  99999  99999     95     11
      6    243  25298  99999  99999     75     12
      6    231  25603  99999  99999    105     12
      5    213  26127   -525   -855  99999  99999
      6    210  26212  99999  99999     60     13
      4    200  26540   -535   -865     70     14
      5    193  26768   -543   -873  99999  99999
      5    186  27005   -529   -859  99999  99999
      5    177  27324   -535   -865  99999  99999
      6    174  27432  99999  99999     90     21
      6    159  28041  99999  99999    120     12
      6    144  28651  99999  99999    135      2
      5    139  28899   -465   -815  99999  99999
      5    121  29818   -461   -811  99999  99999
      6    110  30480  99999  99999    325      8
      5    104  30829   -429   -789  99999  99999
      4    100  31110   -415   -775    360      7
      5     92  31679   -377   -757  99999  99999
      6     81  32613  99999  99999    300     12
      5     80  32639   -381   -761  99999  99999
      5     76  32992   -365   -745  99999  99999
      6     74  33223  99999  99999    320     18
      6     71  33528  99999  99999    350      8
      4     70  33560   -367   -747    355      8
      6     67  33832  99999  99999      5      9
      5     65  34073   -359   -739  99999  99999
    254     12     19      MAY    2020
